61,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1587,4,Disaster Management,2024-09-12 01:00:56
62,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1588,7,Miscellaneous,2024-09-12 01:00:56
63,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1589,8,Blockchain & Cybersecurity,2024-09-12 01:00:56
64,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1590,4,Renewable / Sustainable Energy,2024-09-12 01:00:56
65,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1591,7,Travel & Tourism,2024-09-12 01:00:56
66,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1592,13,Clean & Green Technology,2024-09-12 01:00:56
67,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1593,0,Robotics and Drones,2024-09-12 01:00:56
68,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1594,7,Transportation & Logistics,2024-09-12 01:00:56
69,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1595,5,Smart Vehicles,2024-09-12 01:00:56
70,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1596,16,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
71,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1597,17,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
72,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1598,10,Heritage & Culture,2024-09-12 01:00:56
73,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1599,8,Fitness & Sports,2024-09-12 01:00:56
74,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1600,9,Smart Automation,2024-09-12 01:00:56
75,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1601,5,Toys & Games,2024-09-12 01:00:56
76,"AICTE, MIC-Student Innovation",Student Innovation,Software,SIH1602,1,Space Technology,2024-09-12 01:00:56
77,Autodesk,Research and develop a design on “ autonomous water surface cleaning robot “,Software,SIH1603,3,Robotics and Drones,2024-09-12 01:00:56
78,Bharat Electronics Limited (BEL),Conversational Image Recognition Chatbot,Software,SIH1604,7,Smart Automation,2024-09-12 01:00:56
79,Bharat Electronics Limited (BEL),Women Safety Analytics – Protecting Women from safety threats,Software,SIH1605,50,Miscellaneous,2024-09-12 01:00:56
80,Bharat Electronics Limited (BEL),Micro-Doppler based Target Classification,Software,SIH1606,1,Robotics and Drones,2024-09-12 01:00:56
81,Department of Science and Technology,"A smart AI based solution for traffic management on routes with heavy traffic from different directions, with real-time monitoring and adaptation of traffic light timings",Software,SIH1607,15,Smart Automation,2024-09-12 01:00:56
82,Government of Gujarat,"Enhancing Monitoring and Management of Research, IPR, Innovation, and Start-ups in Gujarat State",Software,SIH1608,1,Smart Education,2024-09-12 01:00:56
83,Government of Gujarat,Implementation of the Alumni Association platform for the University/Institute.,Software,SIH1609,8,Smart Education,2024-09-12 01:00:56
84,Government of Gujarat,Learning App for Deaf And Mute and sign language-English/Gujarati converter,Software,SIH1610,5,Smart Education,2024-09-12 01:00:56
85,Government of Himachal Pardesh,Drone-Based Intelligent System for Apple Orchard Management in Himachal Pradesh,Hardware,SIH1611,2,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
86,Government of NCT of Delhi,Automated Bus Scheduling and Route Management System for Delhi Transport Corporation,Software,SIH1612,9,Smart Vehicles,2024-09-12 01:00:56
87,Government of NCT of Delhi,Automated System for Career Advancements of the Faculties of Higher Education,Software,SIH1613,2,Smart Education,2024-09-12 01:00:56
88,Government of NCT of Delhi,Publications summary generator for faculty members profile building,Software,SIH1614,1,Smart Education,2024-09-12 01:00:56
89,Government of NCT of Delhi,Learning path dashboard for enhancing skills,Software,SIH1615,4,Smart Education,2024-09-12 01:00:56
90,Government of NCT of Delhi,The technological solutions for capturing AQI values through mobile and other forms of stations,Software,SIH1616,3,Clean & Green Technology,2024-09-12 01:00:56
91,Government of NCT of Delhi,Dynamic route rationalization model based on machine learning/AI would be required based on real-time traffic and road parameters.,Software,SIH1617,0,Smart Automation,2024-09-12 01:00:56
92,Government of NCT of Delhi,Online monitoring of Unauthorized construction across the city,Software,SIH1618,2,Robotics and Drones,2024-09-12 01:00:56
93,Government of NCT of Delhi,Online real-time survey and monitoring of water bodies in Delhi,Software,SIH1619,1,Miscellaneous,2024-09-12 01:00:56
94,Government of NCT of Delhi,Queuing models in OPDs/ availability of beds/ admission of patients. A hospital based solution is ideal which can be integrated with city wide module,Software,SIH1620,5,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
95,Government of NCT of Delhi,Online testing and monitoring of quality of medicines and consumables,Software,SIH1621,3,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
96,Government of NCT of Delhi,Online issuance of Caste and other certificates by Revenue Department need real-time monitoring,Software,SIH1622,0,Smart Automation,2024-09-12 01:00:56
97,Government of NCT of Delhi,"real-time monitoring and evaluation software for application received in Fire Department relating to inspections, follow-ups, issue of NOCs",Software,SIH1623,2,Smart Automation,2024-09-12 01:00:56
98,Government of NCT of Delhi,To develop an Artificial Intelligence (AI) based model for electricity demand projection including peak demand projection for Delhi Power system,Software,SIH1624,1,Smart Automation,2024-09-12 01:00:56
99,Government of NCT of Delhi,Smart Classroom Management Software for Enhanced Learning Environments,Software,SIH1625,4,Smart Automation,2024-09-12 01:00:56
100,Government of NCT of Delhi,Health Data Information & Management System Mobile Application (HDIMS),Software,SIH1626,3,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
101,Government of NCT of Delhi,Drug Inventory and supply chain Tracking system,Software,SIH1627,4,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
102,Government of Punjab,Smart Competency Diagnostic and Candidate Profile Score Calculator,Software,SIH1628,1,Smart Education,2024-09-12 01:00:56
103,Government of Punjab,Freelancing Platform,Software,SIH1629,13,Smart Education,2024-09-12 01:00:56
104,Government of Punjab,Mentor Connect,Software,SIH1630,5,Smart Education,2024-09-12 01:00:56
105,Government of Rajasthan,"AI-Powered Student Assistance Chatbot for Department of Technical Education, Government of Rajasthan.",Software,SIH1631,6,Smart Education,2024-09-12 01:00:56
106,Government of Rajasthan,"An Interactive Job and Internship Platform for Technical Education Department, Govt. of Rajasthan",Software,SIH1632,1,Smart Education,2024-09-12 01:00:56
107,Government of Rajasthan,"Intelligent platform to Interconnect Alumni and Student for Technical Education Department, Govt. of Rajasthan",Software,SIH1633,8,Smart Education,2024-09-12 01:00:56
108,Ministry of Agriculture and Farmers Welfare,Mobile App for Direct Market Access for Farmers,Software,SIH1637,32,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
109,Ministry of Agriculture and Farmers Welfare,AI-Driven Crop Disease Prediction and Management System,Software,SIH1638,19,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
110,Ministry of Agriculture and Farmers Welfare,Sustainable Fertilizer Usage Optimizer for Higher Yield,Software,SIH1639,4,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
111,Ministry of Agriculture and Farmers Welfare,Assured Contract Farming System for Stable Market Access,Software,SIH1640,10,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
112,Ministry of AYUSH,create an Annual Report Portal for institute where all the departmental reports can be integrated and customized,Software,SIH1641,4,Smart Education,2024-09-12 01:00:56
113,Ministry of AYUSH,"A comprehensive AYUSH Startup Registration Portal to streamline the registration process for startups in the AYUSH sector, enhancing efficiency, transparency, and accessibility.",Software,SIH1642,4,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
114,Ministry of AYUSH,Portal for innovation Excellence Indicators,Software,SIH1643,2,Smart Education,2024-09-12 01:00:56
115,Ministry of Coal,A web application specifically designed for Indian coal mines to quantify their carbon footprint and explore pathways to carbon neutrality.,Software,SIH1644,7,Renewable / Sustainable Energy,2024-09-12 01:00:56
116,Ministry of Coal,An app and web based software for Productivity and safety management of coal mines.,Software,SIH1645,0,Smart Automation,2024-09-12 01:00:56
117,Ministry of Coal,App based Project monitoring of S&T/ R&D Projects of Coal Sector,Software,SIH1646,0,Smart Automation,2024-09-12 01:00:56
118,"Ministry of Consumer Affairs, Food and Public Distribution","Development of AI-ML based models for predicting prices of agri-horticultural commodities such as pulses and vegetable (onion, potato, onion)",Software,SIH1647,0,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
119,Ministry of Culture,Online Chatbot based ticketing system,Software,SIH1648,16,Travel & Tourism,2024-09-12 01:00:56
120,Ministry of Defence,DDoS Protection System for Cloud: Architecture and Tool,Software,SIH1649,3,Blockchain & Cybersecurity,2024-09-12 01:00:56
121,Ministry of Defence,Early Warning System for Glacial Lake Outburst Floods (GLOFs),Software,SIH1650,3,Disaster Management,2024-09-12 01:00:56
122,Ministry of Defence,Microphone array-based direction of arrival for gunshot detection,Software,SIH1651,1,Miscellaneous,2024-09-12 01:00:56
123,Ministry of Defence,Extraction and Verification of Information from semi-categorised data.,Software,SIH1652,2,Smart Automation,2024-09-12 01:00:56
124,Ministry of Defence,Web based Selector-Applicant Simulation Software,Software,SIH1653,2,Smart Automation,2024-09-12 01:00:56
125,Ministry of Defence,Determining expert relevance with respect to interview board subject and candidates’ area of expertise,Software,SIH1654,1,Smart Automation,2024-09-12 01:00:56
126,Ministry of Earth Sciences,Detecting oil spills at marine environment using Automatic Identification System (AIS) and satellite datasets,Software,SIH1655,2,Smart Automation,2024-09-12 01:00:56
127,Ministry of Earth Sciences,Development of a mobile application to provide recreational suitability information of beach locations across India.,Software,SIH1656,4,Travel & Tourism,2024-09-12 01:00:56
128,Ministry of Earth Sciences,Integrated Geo-Referenced Fish Catch Data Repository and Access System,Software,SIH1657,0,Smart Automation,2024-09-12 01:00:56
129,Ministry of Earth Sciences,Development of a versatile and fast algorithm for the optimal ship routing,Software,SIH1658,1,Transportation & Logistics,2024-09-12 01:00:56
130,Ministry of Earth Sciences,Data download Duplication Alert System (DDAS),Software,SIH1659,2,Miscellaneous,2024-09-12 01:00:56
131,Ministry of Earth Sciences,Interactive gamified approach to Ocean Literacy,Software,SIH1660,0,Smart Automation,2024-09-12 01:00:56
132,Ministry of Education,Implement Software Solutions to Reduce Student Dropout Rates at Various Educational Stages,Software,SIH1661,2,Smart Education,2024-09-12 01:00:56
133,Ministry of Education,Develop Software Solutions to Enhance Educational Infrastructure and Connectivity in Rural Areas,Software,SIH1664,2,Miscellaneous,2024-09-12 01:00:56
134,Ministry of Education,Develop Effective Career Counselling and Guidance Programs in Schools to Enhance Student Career Choices,Software,SIH1666,10,Smart Education,2024-09-12 01:00:56
135,Ministry of Education,Integrate Industry-Relevant Vocational Training into Elementary and Secondary Education Curriculum,Software,SIH1667,0,Smart Education,2024-09-12 01:00:56
136,Ministry of Electronics and Information Technology,"Creating an application to identify the presence of government issued personally identifiable information (PII) embedded in documents and data, inadvertently or otherwise.",Software,SIH1668,2,Blockchain & Cybersecurity,2024-09-12 01:00:56
137,Ministry of Electronics and Information Technology,Transformo Docs Application: Empowering Machine-Readable Document Management System.,Software,SIH1669,4,Smart Automation,2024-09-12 01:00:56
138,Ministry of Electronics and Information Technology,Develop a functional solution that incorporates the security of the ML model.,Software,SIH1670,0,Smart Automation,2024-09-12 01:00:56
139,Ministry of Electronics and Information Technology,Develop a functional solution that demonstrates the face liveness detection,Software,SIH1671,2,Smart Automation,2024-09-12 01:00:56
